StationID,MasterID,Latitude,Longitude,COMID
000CAT148,000CAT148,39.07525,-119.89953,8942501
000CAT228,000CAT228,39.07317,-119.92006,8942503
101WE1111,101WE1111,41.99178,-124.18097,23949493
102PS0139,102PS0139,41.99596,-122.95979,23936337
102PS0177,102PS0177,41.92939,-123.57254,23945257
103CDCHHR,103CDCHHR,41.78887,-124.07766,22226836
103FC1106,103FC1106,41.93373,-124.1084,22226634
103FCA168,103FCA168,41.65021,-124.09143,22226990
103KLCMSR,103KLCMSR,41.85532,-123.85239,22227592
103PS0217,103PS0217,41.68708,-124.08349,22226948
103RDCBCC,103RDCBCC,41.9548,-124.06245,22226612
103STCNSR,103STCNSR,41.8621,-123.96064,22227560
103WE0585,103WE0585,41.85242,-123.89641,22227602
103WE0817,103WE0817,41.82633,-124.11418,22226782
103WE1072,103WE1072,41.84402,-124.00182,22226752
103WER026,103WER026,41.84611,-124.0275,22226750
103WER029,103WER029,41.80827,-124.11215,22226788
103WER030,103WER030,41.85675,-123.91167,22227610
105BVCAGC,105BVCAGC,41.61201,-123.29221,4439580
105CE0029,105CE0029,41.66083,-122.49833,3917966
105CE0073,105CE0073,41.42694,-122.39555,3918426
105CE0141,105CE0141,41.89194,-122.48694,361921
105CE0149,105CE0149,41.48333,-123.74194,4442318
105CE0173,105CE0173,41.73972,-122.62972,3917192
105CE0205,105CE0205,41.70111,-122.6425,3917288
105CE0269,105CE0269,41.78232,-122.47448,3917126
105CE0329,105CE0329,41.3075,-123.03361,8257849
105CE0381,105CE0381,41.71694,-122.35111,3917948
105CE0489,105CE0489,41.47694,-122.84972,3800891
105CE0525,105CE0525,41.73671,-122.55309,948010088
105CE0557,105CE0557,41.53945,-122.84279,3799671
105CE0685,105CE0685,41.77138,-122.605,3917120
105CE0765,105CE0765,41.46138,-122.43888,3918402
105CLCATC,105CLCATC,41.7349,-123.54822,4439224
105CR0901,105CR0901,41.3226,-123.5227,4442592
105CR0913,105CR0913,41.844,-122.8934,362143
105DLCDCC,105DLCDCC,41.57269,-123.54353,4439728
105FC1116,105FC1116,41.91258,-120.92125,2557043
105FC1120,105FC1120,41.55364,-121.92469,8265420
105FC1297,105FC1297,41.3286,-123.41992,8257759
105FCA010,105FCA010,42.00122,-122.76609,359295
105FCA020,105FCA020,41.31853,-123.52796,4442592
105FCA040,105FCA040,41.53926,-123.52673,4439896
105FCA056,105FCA056,41.4564,-123.93556,4442410
105FCA068,105FCA068,41.84335,-122.89971,362143
105FCA116,105FCA116,41.31833,-123.04833,8257773
105FCA132,105FCA132,41.95472,-122.66083,361533
105FLH087,105FLH087,41.8124,-120.79008,2557175
105FS0416,105FS0416,41.61411,-123.28187,4439616
105FS0425,105FS0425,41.35799,-123.07511,8257711
